genus	mean_size_bp	num_genomes
Enorma	2316158	5
Ensifer	7327171	56
Enteractinococcus	2913797	1
Enterobacillus	4931017	1
Enterobacter	4968528	3260
Enterobacterales	4483417	1
Enterobacteriaceae	2124536	40
Enterocloster	5864397	136
Enterococcaceae	2039736	1
Enterococcus	3017344	5716
Enterovibrio	5415579	29
Enterovirga	4135587	3
Entomobacter	2701842	1
Entomohabitans	5453996	1
Entomomonas	3300104	3
Entomoplasma	838114	1
Entomospira	1751268	4
Eoetvoesiella	4752396	1
Ephemeroptericola	2723407	1
Epibacterium	4094732	2
Epidermidibacterium	4018808	1
Epilithonimonas	3356800	25
Ereboglobus	4175033	1
Eremococcus	1869643	1
Erwinia	4208508	387
Erysipelatoclostridium	2511840	2
Erysipelothrix	1824905	160
Erysipelotrichaceae	3623816	24
Erythrobacter	3248101	37
Erythrobacteraceae	2261573	1
Escherichia	5121329	18560
Eshraghiella	2504467	3
Estrella	2829331	1
Ethanoligenens	3020471	5
Eubacteriaceae	3128070	14
Eubacterium	3111665	126
Eudoraea	3906474	1
Euhalothece	3524308	1
Euzebya	6371455	1
Euzebyella	4692501	2
Evansella	5146567	7
Evtepia	2378668	3
Ewingella	5101916	1
Exercitatus	2273231	3
Exiguobacterium	2976781	164
Exilibacterium	7176565	1
Extensimonas	3215917	4
Ezakiella	1801922	4
Facilibium	2871084	1
Facklamia	1891962	6
Faecalibacillus	2816482	33
Faecalibacter	2948175	4
Faecalibacterium	3004391	120
Faecalibaculum	2266088	210
Faecalicatena	4962120	16
Faecalicoccus	2238737	11
Faecalimicrobium	3735762	1
Faecalimonas	3039468	12
Faecalispora	3434756	6
Faecalitalea	1922356	24
Falsarthrobacter	2187394	1
Falseniella	1686373	2
Falsibacillus	4175452	2
Falsigemmobacter	4098029	3
Falsihalocynthiibacter	3977615	3
Falsirhodobacter	3244728	3
Falsiroseomonas	6271833	4
Falsiruegeria	4907076	2
Falsochrobactrum	3270454	3
Fangia	2946743	1
Fannyhessea	1456594	3
Fastidiosipila	1785891	1
Faucicola	2740046	1
Fenollaria	1672252	4
Fermentimonas	2808926	1
Ferribacterium	4250232	4
Ferrigenium	2572603	1
Ferrimicrobium	2749654	14
Ferrimonas	4482535	9
Ferriphaselus	2579414	2
Ferrithrix	2489535	1
Ferrovibrio	4238150	10
Ferrovum	2395248	8
Ferruginibacter	3860813	4
Fervidibacillus	3044253	2
Fervidobacterium	2105985	9
Fibrella	6670971	4
Fibrisoma	7799645	1
Fibrobacter	3269807	55
Fictibacillus	4344382	19
Fidelibacter	2788509	1
Fidelibacterota	2047537	7
Filibacter	3123030	1
Filifactor	2370313	2
Filimonas	7476944	5
Filobacillus	3242837	1
Filomicrobium	3847194	1
Fimbriimonas	5231762	1
Finegoldia	1868828	15
Firmicutes	2418949	63
Fischerella	5843464	38
Flagellatimonas	3608892	1
Flagellimonas	4035750	44
Flammeovirga	7335948	10
Flammeovirgaceae	6665617	1
Flaviaesturariibacter	4883188	2
Flavicella	4583336	1
Flaviflagellibacter	3738652	1
Flaviflexus	2524991	6
Flavihumibacter	4832886	5
Flavimobilis	2899842	2
Flaviramulus	3365092	3
Flavisolibacter	5232648	3
Flavivirga	5258083	8
Flavobacteria	3103424	1
Flavobacteriaceae	3307695	7
Flavobacterium	3880868	558
Flavonifractor	4278075	79
Flectobacillus	6482468	2
Flexibacter	4249974	1
Flexilinea	3510630	1
Flexistipes	2526590	1
Flexithrix	9536821	1
Flexivirga	4501232	2
Flintibacter	2917795	1
Flocculibacter	3973578	1
Floricoccus	2159127	1
Fluctibacter	4076444	2
Fluoribacter	3803299	7
Fluviibacter	2260795	4
Fluviicoccus	3682372	1
Fluviicola	4452636	2
Fluviispira	3554313	3
Fodinibius	4184766	3
Fodinicola	8979164	1
Fodinicurvata	3814099	2
Fodinisporobacter	4856687	1
Foetidibacter	7288627	1
Fontibacillus	5440919	4
Fontibacter	4486109	1
Fonticella	3103119	1
Fontimonas	2733540	1
Fontisphaera	4726914	1
Fontisubflavum	3592879	1
Formicincola	1961668	1
Formosa	3447051	8
Fortiea	5742264	1
Francisella	1881486	271
Franconibacter	4691898	6
Frankia	6874914	42
Frankineae	4228702	1
Franzmannia	4402189	1
Frateuria	3824482	7
Frederiksenia	2136304	1
Fredinandcohnia	4904748	6
Fretibacter	3450490	1
Fretibacterium	2789016	2
Friedmanniella	4717614	1
Frigidibacter	4631743	5
Frigoribacterium	3385975	29
Frigoriflavimonas	3432477	2
Frigoriglobus	9857393	1
Frischella	2524209	3
Frisingicoccus	2716364	1
Frondihabitans	3917885	8
Fructilactobacillus	1384213	43
Fructobacillus	1450806	9
Fuerstiella	8920478	1
Fulvimarina	4108781	4
Fulvimonas	3662083	2
Fulvitalea	7397925	1
Fulvivirga	6298758	10
Fundicoccus	3224940	1
Fundidesulfovibrio	4139456	4
Furfurilactobacillus	2620224	12
Fuscovulum	3945553	2
Fusibacillus	2906142	1
Fusibacter	4608797	3
Fusicatenibacter	3912174	18
Fusobacterium	2450268	302
Gabonia	4261367	1
Gabonibacter	3397023	1
Gaetbulibacter	3389937	5
Galactobacillus	2860181	1
Galactobacter	3463320	2
Galbibacter	4165451	5
Galbitalea	3332109	1
Gallaecimonas	3659436	5
Gallibacterium	2558128	15
Gallintestinimicrobium	3795992	1
Gallionella	3162471	1
Gammaproteobacteria	2410964	4
Gandjariella	6115205	1
Gangjinia	3082750	1
Gaopeijia	4221440	4
Garciella	2213280	2
Gardnerella	1611957	112
Garicola	2629497	1
Geitlerinema	4851110	3
Gelatiniphilus	3730324	2
Gelidibacter	4543249	7
Gellertiella	4775132	2
Gelria	2880462	1
Gemella	1811206	20
Gemelliphila	1289860	1
Geminicoccus	5698370	1
Geminocystis	4208337	4
Gemmata	9246757	6
Gemmataceae	7855892	1
Gemmatimonadetes	630041	1
Gemmatimonas	4708096	5
Gemmatirosa	7479215	1
Gemmiger	3196742	21
Gemmobacter	4297315	16
Geoalkalibacter	3972296	5
Geoanaerobacter	4337996	1
Geobacillus	3241786	124
Geobacter	3904583	22
Geochorda	3019339	1
Geodermatophilaceae	5164976	2
Geodermatophilus	5080792	20
Geofilum	4148783	1
Geomicrobium	3510585	1
Geomonas	4985942	11
Geopseudomonas	3899364	2
Georgenia	4016064	16
Georhizobium	4196856	2
Geosporobacter	4837614	2
Geotalea	4544659	3
Geothermobacter	3842851	1
Geothrix	3654384	17
Geotoga	2160957	3
Geovibrio	2997552	1
Gephyromycinifex	3449783	1
Ghiorsea	2163552	1
Gibbsiella	5513948	2
Giesbergeria	3416687	3
Gilliamella	2592496	98
Gillisia	3669888	5
Gilvibacter	2977074	5
Gilvimarinus	4056423	8
Gimesia	7784629	19
Gimibacter	3591884	1
Glaciecola	4106313	8
Glaciibacter	4802534	1
Glaciihabitans	3477829	1
Glaciimonas	4829719	4
Glaesserella	2263763	291
Gleimia	2001771	5
Globicatella	2447518	6
Gloeobacter	4828735	3
Gloeocapsa	5982414	2
Gloeocapsopsis	5618434	1
Gloeomargarita	3049282	1
Gloeothece	7198058	2
Gluconacetobacter	3931016	4
Gluconobacter	3343682	46
Glutamicibacter	3666161	65
Glycocaulis	3002000	4
Glycomyces	5587661	30
Goekera	4884177	2
Goodfellowiella	8779662	1
Gordonia	5117482	130
Gordonibacter	3089510	28
Gorillibacterium	5078535	3
Gottfriedia	4869161	12
Gottschalkia	3108248	1
Gracilibacillus	4242200	17
Gracilimonas	3331786	7
Gracilinema	3239340	1
Gramella	3524642	4
Granulibacter	2719780	10
Granulicatella	1972392	11
Granulicella	5411672	11
Granulicoccus	4117723	1
Granulimonas	2058130	1
Granulosicoccus	7783862	1
Grimontella	5790929	1
Grimontia	4589185	6
Gryllotalpicola	3343282	3
Gudongella	2210400	2
Gulbenkiania	2855437	3
Gulosibacter	2797486	8
Guyparkeria	2361870	5
Gymnodinialimonas	4066749	4
Gynuella	6475959	1
Gynurincola	4525614	1
Haematobacter	4243651	3
Haematospirillum	2467625	1
Haemophilus	1913689	289
Hafnia	4714939	64
Hafniaceae	4883880	1
Hahella	6344602	5
Halalkalibacillus	2785384	2
Halalkalibacter	4652154	6
Halalkalibacterium	4156322	19
Halanaerobium	2885630	28
Halarcobacter	3078742	7
Halarsenatibacter	2718640	1
Haliangium	9446314	1
Haliea	4547391	2
Halioglobus	4507763	5
Haliovirga	2725473	1
Halioxenophilus	5942233	1
Haliscomenobacter	7668627	3
Hallella	3368459	7
Hallerella	2849881	1
Haloactinopolyspora	5539514	1
Halobacillus	4051255	29
Halobacteriovorax	3326313	18
Halobacteroides	2649255	1
Halocella	4035760	1
Halochromatium	4500995	2
Halodesulfovibrio	3692175	5
Haloechinothrix	5390805	3
Haloferula	5268340	3
Haloimpatiens	3726216	4
Halolactibacillus	2914723	3
Halomarinibacterium	2957540	1
Halomicronema	5577845	1
Halomonas	4112633	181
Halonatronomonas	2963150	1
Halonatronum	2884521	1
Halopolyspora	4565527	1
Halopseudomonas	3849214	34
Halorhodospira	2751232	5
Halospina	3318232	1
Halosquirtibacter	4826188	2
Halostreptopolyspora	5266132	1
Halotalea	4426628	2
Halothece	4179170	1
Halothermothrix	2578146	1
Halothiobacillus	2520593	6
Halotia	7297492	2
Halovulum	4633797	1
Hamadaea	8921306	4
Hankyongella	2880809	1
Hansschlegelia	3956128	3
Haoranjiania	3301167	1
Hapalosiphon	7429720	1
Haploplasma	1559904	3
Harryflintia	2997862	3
Hartmannibacter	5449775	1
Hassallia	7501515	1
Hathewaya	2867213	3
Helcobacillus	2548098	1
Helcococcus	1901450	6
Helicobacter	1690294	1623
Helicovermis	3122901	1
Heliomarina	5333784	1
Heliomicrobium	3075407	1
Heliorestis	3218981	1
Hellea	3208823	1
Heminiphilus	3181588	2
Henriciella	3615735	6
Hephaestia	4524961	1
Herbaspirillum	5427312	44
Herbiconiux	4196798	14
Herbidospora	8423366	7
Herbihabitans	6627535	1
Herbinix	2609352	1
Herminiimonas	3680324	5
Herpetosiphon	6384310	2
Hespellia	4402942	1
Heyndrickxia	3681210	88
Hippea	1694430	1
Hirschia	3461575	3
Histidinibacterium	4129082	2
Histophilus	2125529	50
Hoeflea	5139091	13
Holdemanella	2410022	22
Holdemania	3893591	16
Holophaga	4127237	1
Holospora	1559068	2
Holzapfeliella	1289346	1
Hominenteromicrobium	3114530	2
Hominibacterium	4857805	1
Hominimerdicola	2965035	1
Hoministercoradaptatus	3932285	1
Homoserinibacter	2928956	2
Hongsoonwoonella	4361126	1
Horticoccus	4320198	1
Hoylesella	3001696	23
Hoyosella	4203996	2
Hugenholtzia	4254862	1
Hugonella	2090771	1
Huintestinicola	3013746	1
Hujiaoplasma	1808583	1
Humibacillus	5007949	2
Humibacter	4024661	2
Humidesulfovibrio	3493264	2
Humisphaera	7189892	1
Humitalea	4974508	1
Hungateiclostridiaceae	3802844	1
Hungatella	6975066	64
Hutsoniella	2067037	1
Hwangdonia	3801249	3
Hyalangium	13559219	1
Hydrocarboniclastica	4258501	1
Hydrocarboniphaga	3968824	2
Hydrococcus	5148315	1
Hydrocoleum	8387203	1
Hydrogenibacillus	2625593	2
Hydrogeniiclostridium	3057707	1
Hydrogenimonas	2254087	8
Hydrogenispora	5983490	1
Hydrogenoanaerobacterium	3175071	2
Hydrogenobacter	1745305	7
Hydrogenobaculum	1554152	5
Hydrogenophaga	4679517	58
Hydrogenophilus	2252214	2
Hydrogenothermus	1604000	1
Hydrogenovibrio	2558343	6
Hydromonas	2427609	1
Hydrotalea	3051902	4
Hyella	8063701	1
Hylemonella	3583466	4
Hymenobacter	5254363	70
Hypericibacter	5879682	2
Hyphobacterium	2998116	5
Hyphococcus	3307488	2
Hyphomicrobiales	5830047	681
Hyphomicrobium	4017244	16
Hyphomonas	3449698	46
Hypnocyclicus	2218931	1
Hyunsoonleella	3714786	6
Iamia	4913266	2
Ichthyenterobacterium	3009115	1
Ichthyobacterium	1921407	1
Ideonella	5338461	8
Idiomarina	2752134	49
Idiomarinaceae	2740121	1
Ignatzschineria	2550551	6
Ignavibacterium	3437364	5
Ignavigranum	1953936	2
Ihuprevotella	2771606	1
Ileibacterium	2495988	29
Ilumatobacter	4830181	1
Ilyobacter	3132314	1
Ilyomonas	5883685	1
Immundisolibacter	2914588	3
Imperialibacter	6785649	4
Imtechella	3113111	1
Indioceanicola	5374982	1
Inediibacterium	3497276	1
Inhella	4288459	4
Iningainema	9507908	2
Inquilinus	7576459	4
Insolitispirillum	4691232	2
Intestinibacillus	2938350	2
Intestinibacter	2955983	24
Intestinibaculum	3212924	1
Intestinimonas	3310634	31
Intestinirhabdus	4829483	1
Intrasporangiaceae	4567713	1
Intrasporangium	4260506	5
Iocasia	3926493	1
Iodidimonas	3006349	1
Iodobacter	4677850	6
Isoalcanivorax	3595630	2
Isobaculum	2821134	1
Isoptericola	3909898	20
Isorropodon	1447997	1
Isosphaera	5529304	1
Izhakiella	4261852	2
Jacksonvillea	5711777	1
Janibacter	3426618	32
Jannaschia	3814844	11
Janthinobacterium	6238047	67
Jatrophihabitans	4379712	4
Jejubacter	5182800	1
Jejudonia	2820091	1
Jejuia	3807289	1
Jeongeupia	3593728	2
Jeotgalibaca	2370178	7
Jeotgalibacillus	3652812	4
Jeotgalicoccus	2234939	14
Jhaorihella	3771953	1
Jiangella	7112596	7
Jiella	5551578	3
Johnsonella	2687075	1
Jonesia	2815173	5
Jonesiaceae	3009940	1
Jonquetella	1732996	2
Kaistella	2833444	23
Kaistia	5172971	4
Kalamiella	5202273	1
Kallipyga	1770670	1
Kallotenue	8852228	1
Kamptonema	6741336	2
Kandeliimicrobium	4408274	1
Kandleria	2057640	8
Kangiella	2598887	9
Kaustia	4630536	1
Keguizhuia	4049051	1
Keratinibaculum	2278305	2
Kerstersia	3964102	4
Ketobacter	4914503	1
Ketogulonicigenium	3130552	7
Kibdelosporangium	11500920	5
Kiloniella	4220414	4
Kineobactrum	4649503	1
Kineococcus	4666588	13
Kineosporia	7788339	5
Kineothrix	4329372	2
Kingella	2051278	60
Kinneretia	5538945	1
Kiritimatiella	2949723	1
Kitasatospora	9012573	337
Klebsiella	5652507	12126
Klenkia	4782514	2
Klugiella	2921981	1
Kluyvera	4941231	28
Knoellia	3907307	8
Kocuria	3047641	106
Koleobacter	3102782	1
Komagataeibacter	3761226	37
Komarekiella	8497696	1
Konateibacter	4260837	1
Kordia	5338835	3
Kordiimonas	4043785	10
Kosakonia	5067534	64
Kosmotoga	2235648	2
Kovacikia	8564336	1
Kozakia	3280512	4
Krasilnikoviella	4846016	1
Kribbella	8642975	84
Kribbibacterium	2219977	2
Kriegella	6057242	1
Kroppenstedtia	3563149	6
Ktedonobacter	13661586	1
Ktedonosporobacter	11340617	1
Kurthia	3194883	11
Kushneria	3672775	6
Kutzneria	10825334	12
Kyrpidia	3330490	6
Kytococcus	2592528	12
Labedaea	8317180	1
Labilibacter	6372092	1
Labilibaculum	5285363	4
Labilithrix	12191466	1
Labrenzia	6435765	11
Labrys	7522691	7
Laceyella	3591422	6
Lachnoanaerobaculum	2938137	10
Lachnobacterium	2620140	3
Lachnoclostridium	3263494	23
Lachnospira	2953977	28
Lachnospiraceae	3669357	123
Lachnotalea	5013628	2
Lacibacter	4683619	3
Lacibacterium	4505139	1
Lacicoccus	2575140	2
Lacihabitans	5682144	2
Lacimicrobium	4353108	2
Lacinutrix	3347314	9
Lacipirellula	6876617	2
Lacisediminihabitans	3548113	2
Lacisediminimonas	4495673	1
Lacrimispora	5006795	24
Lacticaseibacillus	2991846	480
Lacticigenium	2134509	1
Lactiplantibacillus	3308580	753
Lactobacillaceae	2017471	1
Lactobacillus	1898125	1310
Lactococcus	2383875	506
Lactonifactor	4894314	11
Lactovum	1755291	1
Lacunisphaera	4199284	1
Laedolimicola	3561714	1
Lamprobacter	5693679	1
Lamprocystis	6908745	1
Lampropedia	3579579	2
Lancefieldella	1592626	4
Lapidilactobacillus	1805592	4
Lapillicoccus	4549484	1
Laribacter	3282045	4
Larkinella	7341782	7
Larsenimonas	3251938	4
Lascolabacillus	2248915	3
Laspinema	7066216	8
Latilactobacillus	1997729	109
Lautropia	3328298	4
Lawsonella	1777248	5
Lawsonia	1704967	5
Lawsonibacter	3126090	1
Leadbettera	3855671	1
Leadbetterella	4290479	2
Leclercia	4928389	66
Lederbergia	4489133	12
Leeia	3541583	1
Leekyejoonella	5316486	1
Leeuwenhoekiella	4150795	21
Legionella	3481438	583
Leifsonia	3957045	51
Leisingera	4703939	35
Lelliottia	4532074	21
Leminorella	4127017	4
Lentibacillus	3611792	15
Lentibacter	2973884	6
Lentilactobacillus	2640829	86
Lentilitoribacter	3987096	2
Lentimicrobium	3880009	5
Lentimonas	4874031	7
Lentisalinibacter	4122570	2
Lentisphaera	5457903	1
Lentisphaerae	327034	1
Lentzea	9623115	49
Leptodesmis	5348817	1
Leptogranulimonas	2018144	2
Leptolyngbya	6720903	18
Leptolyngbyaceae	5530491	1
Leptonema	4522760	1
Leptospira	4400957	336
Leptospirillum	2621651	7
Leptothermofonsia	6426061	1
Leptothoe	5145627	3
Leptothrix	3080213	7
Leptotrichia	2392297	32
Leucobacter	3346306	44
Leuconostoc	1942261	296
Leuconostocaceae	2296823	1
Leucothrix	5934752	2
Levilactobacillus	2636434	126
Levilinea	4217183	1
Levyella	1713902	1
Lewinella	6418548	4
Lewinellaceae	5481126	1
Leyella	2822995	15
Liberibacter	1513389	2
Lichenibacterium	5801291	1
Lichenicoccus	4788108	1
Lichenicola	6061304	1
Lichenifustis	7523782	1
Lichenihabitans	4629876	4
Ligaoa	2718408	7
Ligilactobacillus	2039351	315
Lignipirellula	9565229	1
Lihuaxuella	3808945	1
Limibacillus	3481263	1
Limihaloglobus	3868357	1
Limimaricola	3742417	7
Limimonas	3039361	1
Limisalsivibrio	2971658	1
Limisphaera	3908748	1
Limnobacter	3354184	19
Limnobaculum	4378142	5
Limnochorda	3817036	1
Limnofasciculus	6604967	1
Limnoglobus	9378099	1
Limnohabitans	2811588	18
Limnoraphis	7300478	4
Limnospira	5822446	7
Limnothrix	4558667	2
Limobrevibacterium	5373152	1
Limoniibacter	3621476	2
Limosilactobacillus	2079110	588
Lipingzhangella	4687755	1
Liquorilactobacillus	2460576	25
Lishizhenia	3567068	1
Listeria	2968077	2394
Litchfieldella	4961275	3
Litchfieldia	4975335	4
Litoreibacter	3718760	2
Litoribacillus	5083356	1
Litoribacter	4399318	2
Litoribrevibacter	4760730	1
Litorilituus	4207748	2
Litorimonas	2663336	2
Litorisediminicola	4233378	1
Litorivicinus	2346037	1
Litorivita	3421533	1
Litorivivens	3489636	1
Loigolactobacillus	2855402	23
Loktanella	3742860	9
Lolliginicoccus	3511487	3
Lonepinella	2298396	6
Longibaculum	3193802	6
Longicatena	3107400	11
Longilinea	4438311	1
Longimicrobium	6784483	2
Longimycelium	6828786	1
Longispora	8098818	3
Longitalea	7299432	1
Longivirga	3665155	1
Lonsdalea	3833230	85
Luedemannella	6632483	2
Luethyella	3272419	1
Lujinxingia	5008384	1
Luminiphilus	3261541	1
Lunatibacter	6791886	1
Lunatimonas	5459576	1
Luteibacter	4569289	17
Luteimicrobium	4252678	2
Luteimonas	3583618	36
Luteipulveratus	5420910	1
Luteirhabdus	3394992	1
Luteitalea	7009753	3
Luteithermobacter	3145891	1
Luteococcus	3186548	3
Luteolibacter	5595499	9
Lutibacter	3717856	10
Lutimaribacter	4780904	2
Lutimonas	3719021	3
Lutispora	3349540	2
Lyngbya	5799199	2
Lysinibacillus	4764797	222
Lysinibacter	3405710	2
Lysobacter	4974293	76
Lysobacteraceae	2263867	3
Macellibacteroides	3114062	1
Macrococcoides	2287397	33
Macrococcus	2278338	16
Macromonas	2882244	2
Mageeibacillus	1809746	1
Magnetococcus	4719581	1
Magnetospira	4052370	1
Magnetospirillum	4260118	10
Mahella	3135972	1
Mailhella	3155642	2
Maioricimonas	7744989	1
Maize	576118	1
Malaciobacter	2831569	10
Malacoplasma	1286722	9
Maledivibacter	5802910	1
Maliibacterium	2422126	1
Malikia	3719833	3
Mameliella	5592858	5
Mammaliicoccus	2775704	135
Mangrovibacillus	3153416	1
Mangrovibacter	5493237	3
Mangrovibacterium	5216229	4
Mangrovicoccus	7179110	1
Mangrovihabitans	7581334	1
Mangrovimonas	3393008	4
Mangrovivirga	4661901	1
Mannheimia	2615988	303
Maribacter	4285830	50
Maribellus	6145000	4
Maricaulis	3376020	7
Marichromatium	3775133	4
Maricurvus	5859353	1
Maridesulfovibrio	4080970	11
Marihabitans	2938486	1
Marilutibacter	3937570	2
Mariluticola	3446865	1
Marimonas	4319764	1
Marinactinospora	5952950	2
Marinagarivorans	4441303	3
Marinibactrum	5089780	1
Marinibaculum	6753039	1
Mariniblastus	6570840	1
Marinicauda	3278306	3
Marinicaulis	4013232	1
Marinicella	3676170	6
Marinicrinis	4218192	1
Marinifilum	4823502	6
Mariniflexile	4232955	10
Marinigracilibium	4956116	1
Marinihelvus	3432746	1
Marinilabilia	4963334	3
Marinilactibacillus	2595993	17
Marinilongibacter	4635932	1
Marinimicrobium	4063964	4
Marininema	3450214	2
Mariniphaga	5071592	2
Mariniplasma	1898628	1
Marinirhabdus	3293993	1
Marinitenerispora	6025270	2
Marinithermus	2269167	1
Marinitoga	2310056	5
Marinobacter	4167327	159
Marinobacterium	4400923	21
Marinococcus	2908575	1
Marinomonas	4218216	48
Marinoscillum	5588702	2
Marinospirillum	3023299	6
Marinovum	5375517	3
Mariprofundus	2642046	4
Marisediminicola	3352609	1
Marisediminitalea	4677505	2
Marispirochaeta	4218950	2
Maritalea	3455888	6
Maritimibacter	4160209	5
Marivibrio	4188800	1
Marivirga	4729647	10
Marivita	4288597	3
Marivivens	3154228	2
Marixanthomonas	2959668	1
Marmoricola	4100633	3
Marnyiella	2613493	1
Martelella	5152079	13
Marvinbryantia	4540408	3
Massilia	6038173	84
Massilibacillus	4000953	1
Massilibacterium	2849407	2
Massilibacteroides	3615997	1
Massilicoli	2507078	1
Massiliimalia	2914076	1
Massilimicrobiota	2542449	3
Massilioclostridium	2588313	1
Massilistercora	2769591	1
Mastigocladopsis	6465655	1
Mastigocladus	6911113	1
Mastigocoleus	15867137	1
Mediterranea	3949838	1
Mediterraneibacter	3410613	168
Megalodesulfovibrio	3792124	2
Megamonas	2354119	45
Megasphaera	2535420	40
Meinhardsimonia	3126542	2
Meiothermus	2974956	13
Melaminivora	3354564	4
Melghiribacillus	3015078	1
Melghirimyces	3597154	2
Melioribacter	3300414	1
Melissococcus	2066842	8
Melittangium	9910441	1
Membranihabitans	5679858	2
Merdibacter	2468696	1
Merdimmobilis	2511977	3
Merdimonas	3468497	1
Mergibacter	1887070	6
Meridianimaribacter	3223525	1
Meridianimarinicoccus	4260735	2
Mesoaciditoga	2172469	1
Mesobacillus	5014095	16
Mesobacterium	5982853	1
Mesocricetibacter	2214771	1
Mesoflavibacter	3076554	9
Mesohalobacter	2651256	1
Mesomycoplasma	969406	139
Mesonia	3116200	14
Mesoplasma	825984	28
Mesorhizobium	6793654	640
Mesoterricola	4759641	2
Mesotoga	2549494	35
Metabacillus	4956278	25
Metaclostridioides	2972557	1
Metallibacterium	3174616	3
Metallococcus	3494007	1
Metallumcola	3720236	1
Metamycoplasma	732679	76
Metaprevotella	185014	1
Metapseudomonas	6069793	31
Metasolibacillus	3909980	5
Methylacidimicrobium	2336120	2
Methylacidiphilum	2301458	6
Methylibium	4219846	4
Methylobacillus	2815328	4
Methylobacter	4875046	15
Methylobacterium	6105639	158
Methylobrevis	4403263	1
Methylocaldum	5335528	3
Methylocapsa	4682340	5
Methyloceanibacter	3317468	2
Methylocella	3989745	5
Methylococcaceae	4163008	11
Methylococcus	3560059	15
Methylocystis	4216330	25
Methylogaea	4018824	1
Methyloligella	3222019	3
Methylolobus	3392929	1
Methylomagnum	5199498	1
Methylomarinovum	2568616	2
Methylomarinum	4771325	1
Methylomicrobium	4692343	4
Methylomonas	4994480	23
Methylomusa	4521002	3
Methylophaga	3037838	41
Methylophilales	1541377	4
Methylophilus	2896217	16
Methylopila	3762783	4
Methyloprofundus	2440904	1
Methyloradius	2800413	1
Methyloraptor	5028296	1
Methylorubrum	5766019	32
Methylosarcina	4978464	1
Methylosinus	4938661	9
Methylotenera	2882341	6
Methyloterricola	4902375	1
Methylotuvimicrobium	5029443	5
Methyloversatilis	4181763	9
Methylovirgula	4071587	5
Methylovorus	2969220	4
Methylovulum	4600156	4
Micavibrio	2470296	2
Microbacter	3777128	2
Microbacteriaceae	4730877	2
Microbacterium	3554983	528
Microbaculum	5661918	2
Microbispora	8417831	52
Microbulbifer	4467107	45
Microcella	2632593	14
Microchaete	10126555	1
Micrococcales	2800603	1
Micrococcus	2542693	185
Microcoleus	7293958	248
Microcystis	4983614	48
Microlunatus	5315581	12
Micromonospora	7048707	585
Micromonosporaceae	7200013	1
Micropruina	3700058	3
Microterricola	3763774	2
Microtetraspora	8893117	9
Microvenator	5847748	1
Microvirga	6520517	29
Microvirgula	4066549	3
Miltoncostaea	3956195	2
Minicystis	16040666	1
Miniimonas	3627914	2
Miniphocaeibacter	2394777	1
Minwuia	4434780	6
Mitsuaria	5858295	3
Mitsuokella	2429002	18
Mixta	4299570	26
Mizugakiibacter	3123558	1
Mobilicoccus	3790148	4
Mobiluncus	2346250	15
Modestobacter	4798430	20
Modicisalibacter	4234764	12
Moellerella	3773697	16
Mogibacterium	1721826	9
Mongoliibacter	4999712	1
Mongoliitalea	4816617	1
Monoglobus	2784968	2
Moorella	2814475	20
Moorena	8716748	20
Moraxella	2361169	183
Moraxellaceae	3297194	2
Morganella	4080373	156
Moritella	4849130	15
Morococcus	2513078	6
Motilibacter	4521977	4
Motilimonas	4662837	3
Mucilaginibacter	6158785	75
Mucinivorans	3149227	1
Mucisphaera	3486541	1
Mucispirillum	2347083	1
Mulberry	622358	1
Mumia	4724748	7
Murdochiella	1673066	3
Muribacter	2263575	1
Muribaculaceae	3395816	5
Muribaculum	2753374	152
Muricomes	3007028	8
Muricoprocola	3270962	1
Muriicola	3134311	3
Murimonas	5749693	2
Murinocardiopsis	7376154	1
Muriventricola	3071079	1
Musicola	4655658	2
Myceligenerans	5280928	4
Mycetocola	3231953	6
Mycetohabitans	3597911	10
Mycoavidus	2375680	5
Mycobacterium	4554791	6036
Mycobacteroides	5111403	1028
Mycolicibacillus	4028554	4
Mycolicibacter	4678145	18
Mycolicibacterium	6295625	304
Mycoplana	4795826	5
Mycoplasma	995009	157
Mycoplasmoides	838960	169
Mycoplasmopsis	948103	375
Mycovorax	3342126	1
Myroides	3928977	109
Myxacorys	4958574	1
Myxococcus	9905122	32
Naasia	3321473	3
Nakamurella	4968824	10
Namhaeicola	3430181	1
Nanchangia	1907497	1
Nannocystis	12420766	2
Natranaerobius	3203074	2
Natranaerofaba	3264732	1
Natranaerovirga	3061098	1
Natribacillus	3302411	1
Natroniella	2452942	1
Natronincola	3768981	1
Natronoflexus	4472281	1
Natronoglycomyces	4012379	1
Natronogracilivirga	3750541	1
Natronospirillum	4335798	1
Natronosporangium	5699854	1
Naumannella	3347785	1
Nautilia	1733772	2
Ndongobacter	1864878	1
Necropsobacter	2487708	2
Negadavirga	6382514	1
Negativicoccus	1422920	5
Neglectibacter	3796963	5
Neisseria	2180573	1435
Nemorincola	3876695	1
Neoasaia	3407860	1
Neobacillus	5445409	80
Neochlamydia	2817974	1
Neoehrlichia	1161979	5
Neokomagataea	2577002	1
Neolewinella	5614950	9
Neomegalonema	3603586	2
Neomelitea	3435542	1
Neomicrococcus	2763164	2
Neopusillimonas	3303264	4
Neorhizobium	6355754	19
Neorhodopirellula	8502319	1
Neorickettsia	869302	5
Neoroseomonas	4919508	4
Neotabrizicola	4392453	1
Neptuniibacter	3762347	5
Neptunomonas	3945171	15
